Longitude,Latitude,Depth,date,time
8.4984186887741E-01,1.91394007205963E+00,-2.01353216171265E+00,5/29/12,0.064019099
9.10301977396012E-01,2.00133610963822E+00,-2.10897315144539E+00,5/29/12,0.064020298
9.10177928209305E-01,2.00077162981034E+00,-1.96574255824089E+00,5/29/12,0.191450801
8.92696273326874E-01,2.00342539548874E+00,-1.96412692964077E+00,5/30/12,0.002819799
8.92988049983979E-01,2.00110195875168E+00,-1.92193979024887E+00,5/30/12,0.004909098
8.94779072701931E-01,1.99866732358933E+00,-2.03983675837517E+00,5/30/12,0.005112499
9.24528223276139E-01,2.00461994409561E+00,-1.93914927840233E+00,5/30/12,0.0705414
1.11670825481415E+00,1.60330054759979E+00,-1.90650482177734E+00,5/30/12,0.103404298
1.10019519031048E+00,1.60297970771789E+00,-2.04789809584618E+00,5/30/12,0.2044411
1.09235050678253E+00,1.61709631681442E+00,-1.97346172332764E+00,5/31/12,0.091034699
1.10813558101654E+00,1.64499807357788E+00,-1.91682277321816E+00,6/1/12,0.122856401
9.36432772874833E-01,1.96367019414902E+00,-2.12791944742203E+00,6/1/12,0.210644599
9.19857984781266E-01,1.99868755638599E+00,-1.92639451026917E+00,6/3/12,0.1706273
9.17217785120011E-01,2.00378342866898E+00,-1.99531123340130E+00,6/3/12,0.214545701
9.18389469385148E-01,2.00387209653855E+00,-1.97032099962234E+00,6/5/12,0.064607602
9.15318447351456E-01,1.99919508695603E+00,-1.92862805426121E+00,6/5/12,0.131113
7.81088030338288E-01,1.9135511636734E+00,-2.03487839698792E+00,6/7/12,0.021102201
9.16232973337174E-01,2.00345615148545E+00,-2.04688107371330E+00,6/7/12,0.063232001
9.19328004121781E-01,2.00396264791489E+00,-2.03746368885041E+00,6/7/12,0.155631199
1.10364930629730E+00,1.98438456058502E+00,-1.94312067627906E+00,6/8/12,0.032813501
9.26376014947892E-01,2.00765575170517E+00,-1.91110851168633E+00,6/8/12,0.234243602
9.27185398340226E-01,2.00858327150345E+00,-2.03364616930485E+00,6/9/12,0.073532298
9.22798520326615E-01,1.62932176291943E+00,-1.84962726831436E+00,6/9/12,0.151145801
9.26301676034928E-01,2.00707191228867E+00,-1.92641987502575E+00,6/10/12,0.220819399
9.35256463289261E-01,1.95924587547779E+00,-1.85946966409683E+00,6/10/12,0.2208254
9.35892993211747E-01,1.96475898027420E+00,-2.12121378183365E+00,6/11/12,0.0233481
1.09714977741241E+00,2.00229862928391E+00,-2.03042108118534E+00,6/11/12,0.0651103
9.35727435350419E-01,2.00929157733918E+00,-2.00264998674393E+00,6/11/12,0.134514902
9.17687636613846E-01,2.00333184003830E+00,-2.07113761901856E+00,6/12/12,0.2300267
9.17710739374161E-01,1.99798426926136E+00,-1.95332573652268E+00,6/13/12,0.142016102
9.08035741746425E-01,2.00658410787583E+00,-2.04470200538635E+00,6/14/12,0.1933356
9.19681936502457E-01,2.00345686674118E+00,-2.08640947639942E+00,6/15/12,0.070344299
9.27830988168717E-01,2.00495716333390E+00,-1.87900603115559E+00,6/15/12,0.124737602
9.17533715069294E-01,2.00698040723801E+00,-1.88419834375382E+00,6/15/12,0.220532
9.25195413827897E-01,2.00719853639603E+00,-2.04314506649971E+00,6/15/12,0.2238237
9.19762952625752E-01,2.00634227991104E+00,-2.07501346468926E+00,6/15/12,0.225433901
9.06369984149934E-01,2.00657628774643E+00,-2.05710199475289E+00,6/15/12,0.225441199
9.52338606119156E-01,2.01688703596592E+00,-2.12419915199280E+00,6/15/12,0.225455999
1.03473622798920E+00,2.00573993921280E+00,-2.06400523185730E+00,6/15/12,0.225512698
9.05327878892421E-01,2.00675235986710E+00,-1.86836126744747E+00,6/15/12,0.225710101
9.09511834383011E-01,1.99832137823105E+00,-2.12393289804459E+00,6/15/12,0.230000801
9.06878858804703E-01,2.00180054903031E+00,-2.09364973902702E+00,6/15/12,0.230129901
1.06911287605762E+00,1.17775933444500E+00,-2.30114469528198E+00,6/15/12,0.230239399
9.24700623750687E-01,2.00470951795578E+00,-2.03405149579048E+00,6/15/12,0.230253499
9.22398811578751E-01,2.00460141897202E+00,-1.85663804113865E+00,6/15/12,0.2316099
9.05174385011196E-01,2.00533756017685E+00,-2.06389843821526E+00,6/15/12,0.231622599
9.26525884866715E-01,2.00669013261795E+00,-2.03822624385357E+00,6/15/12,0.2316285
9.20831948518754E-01,2.00625487565995E+00,-1.93143844008446E+00,6/15/12,0.234527599
9.15859133005143E-01,2.00430063009262E+00,-2.04736518263817E+00,6/16/12,4.69014E-05
1.13630759716034E+00,1.82696635723114E+00,-1.82052586078643E+00,6/16/12,0.000551399
8.9883409589529E-01,2.00205117464066E+00,-2.12210739850998E+00,6/16/12,0.013210401
9.18398147821427E-01,2.00383642911911E+00,-2.10018473267555E+00,6/16/12,0.013214
7.28926552832127E-01,1.79671568870545E+00,-1.86793862581253E+00,6/16/12,0.0213002
9.16194421052933E-01,2.00144904851914E+00,-1.91389225721359E+00,6/16/12,0.0215239
8.54836547374725E-01,1.84616726636886E+00,-1.94635725915432E+00,6/16/12,0.0319594
9.16478092968464E-01,2.00492998361588E+00,-2.12406584024429E+00,6/16/12,0.0451359
9.22680337727070E-01,2.00708922147751E+00,-1.91459047198295E+00,6/16/12,0.075336501
8.52938473224639E-01,1.9139023065567E+00,-1.95763313472271E+00,6/16/12,0.093737401
9.25761586427689E-01,2.00641621351242E+00,-1.95107059180736E+00,6/16/12,0.093742602
9.07458598911762E-01,1.99908498525620E+00,-1.86831251382828E+00,6/16/12,0.1237249
9.25273901224137E-01,1.8035986661911E+00,-1.92273715138435E+00,6/16/12,0.123729199
9.11460836231709E-01,2.00509976148606E+00,-2.14201768636704E+00,6/16/12,0.131709602
9.22827249765397E-01,2.00624166727066E+00,-2.1325096964836E+00,6/16/12,0.131752402
8.89070951938629E-01,1.97587170600891E+00,-1.95904621779919E+00,6/16/12,0.134059299
9.18558079004288E-01,2.00297154188156E+00,-1.91311490535736E+00,6/16/12,0.135310002
9.06936681270600E-01,1.82602592706680E+00,-1.95520831048488E+00,6/16/12,0.143132102
9.07638794183732E-01,1.99788790941239E+00,-1.90378850102425E+00,6/16/12,0.144243602
9.03472238779068E-01,1.99075751602650E+00,-1.84643954038620E+00,6/16/12,0.154015899
9.14871722459794E-01,2.00272668600083E+00,-2.04989857673645E+00,6/16/12,0.155928101
9.1322141289711E-01,1.99894417524338E+00,-2.03434212803841E+00,6/16/12,0.164229799
9.07515054941178E-01,1.99693726301194E+00,-1.91021839976311E+00,6/16/12,0.164351601
7.85649544000626E-01,1.92550472021103E+00,-1.98015705049038E+00,6/16/12,0.171724498
9.22928769886494E-01,2.00162297487259E+00,-1.86840461492539E+00,6/17/12,0.0049573
1.47062954902649E+00,1.98032460808754E+00,-1.95177863836289E+00,6/17/12,0.015957002
7.96147710084916E-01,1.90820057392121E+00,-1.97927623689174E+00,6/17/12,0.040752199
9.22052103281022E-01,2.00499819517136E+00,-2.06687623262406E+00,6/17/12,0.041243799
9.07311040163041E-01,2.00050920248032E+00,-2.06255251765251E+00,6/17/12,0.123632502
9.14591127634049E-01,2.00391432046891E+00,-1.90747236907482E+00,6/17/12,0.163443401
9.04097020626068E-01,1.99092575013638E+00,-1.86054570674896E+00,6/18/12,0.051454999
1.10486023426056E+00,2.00638865232468E+00,-1.96171643733978E+00,6/18/12,0.093052998
9.26770955324173E-01,2.00871838331223E+00,-1.94870480895042E+00,6/19/12,0.144742399
9.48016053438187E-01,2.00796955823899E+00,-1.91803250312805E+00,6/21/12,0.0204296
1.05792057514191E+00,1.56174745261669E+00,-1.99159653186798E+00,6/21/12,0.134437501
